# Local Euler factors for Q(n) = n^47 - (n-1)^47
Prime_p,omega_Q,Factor,Type
2,0,2.00000000,shielded
3,0,1.50000000,shielded
5,0,1.25000000,shielded
7,0,1.16666667,shielded
11,0,1.10000000,shielded
13,0,1.08333333,shielded
17,0,1.06250000,shielded
19,0,1.05555556,shielded
23,0,1.04545455,shielded
29,0,1.03571429,shielded
31,0,1.03333333,shielded
37,0,1.02777778,shielded
41,0,1.02500000,shielded
43,0,1.02380952,shielded
47,0,1.02173913,shielded
53,0,1.01923077,shielded
59,0,1.01724138,shielded
61,0,1.01666667,shielded
67,0,1.01515152,shielded
71,0,1.01428571,shielded
73,0,1.01388889,shielded
79,0,1.01282051,shielded
83,0,1.01219512,shielded
89,0,1.01136364,shielded
97,0,1.01041667,shielded
101,0,1.01000000,shielded
103,0,1.00980392,shielded
107,0,1.00943396,shielded
109,0,1.00925926,shielded
113,0,1.00892857,shielded
127,0,1.00793651,shielded
131,0,1.00769231,shielded
137,0,1.00735294,shielded
139,0,1.00724638,shielded
149,0,1.00675676,shielded
151,0,1.00666667,shielded
157,0,1.00641026,shielded
163,0,1.00617284,shielded
167,0,1.00602410,shielded
173,0,1.00581395,shielded
179,0,1.00561798,shielded
181,0,1.00555556,shielded
191,0,1.00526316,shielded
193,0,1.00520833,shielded
197,0,1.00510204,shielded
199,0,1.00505051,shielded
211,0,1.00476190,shielded
223,0,1.00450450,shielded
227,0,1.00442478,shielded
229,0,1.00438596,shielded
233,0,1.00431034,shielded
239,0,1.00420168,shielded
241,0,1.00416667,shielded
251,0,1.00400000,shielded
257,0,1.00390625,shielded
263,0,1.00381679,shielded
269,0,1.00373134,shielded
271,0,1.00370370,shielded
277,0,1.00362319,shielded
281,0,1.00357143,shielded
283,46,0.84042553,splitting
659,46,0.93161094,splitting
941,46,0.95212766,splitting
1129,46,0.96010638,splitting
1223,46,0.96317512,splitting
1693,46,0.97340426,splitting
1787,46,0.97480403,splitting
2069,46,0.97823985,splitting
2351,46,0.98085106,splitting
2539,46,0.98226950,splitting
2633,46,0.98290274,splitting
3761,46,0.98803191,splitting
4231,46,0.98936170,splitting
4513,46,0.99002660,splitting
4889,46,0.99079378,splitting
5077,46,0.99113475,splitting
5171,46,0.99129594,splitting
5641,46,0.99202128,splitting
5923,46,0.99240122,splitting
6299,46,0.99285487,splitting
6581,46,0.99316109,splitting
6863,46,0.99344215,splitting
7333,46,0.99386252,splitting
8179,46,0.99449743,splitting
8273,46,0.99455996,splitting
8461,46,0.99468085,splitting
8837,46,0.99490720,splitting
9871,46,0.99544073,splitting
10247,46,0.99560804,splitting
10529,46,0.99572568,splitting
11093,46,0.99594302,splitting
11657,46,0.99613933,splitting
11939,46,0.99623052,splitting
12409,46,0.99637331,splitting
12503,46,0.99640058,splitting
12973,46,0.99653099,splitting
13537,46,0.99667553,splitting
13913,46,0.99676538,splitting
14759,46,0.99695081,splitting
14947,46,0.99698916,splitting
15511,46,0.99709865,splitting
15887,46,0.99716732,splitting
16451,46,0.99726444,splitting
16921,46,0.99734043,splitting
17203,46,0.99738403,splitting
17579,46,0.99743998,splitting
18049,46,0.99750665,splitting
18143,46,0.99751957,splitting
19553,46,0.99769845,splitting
20023,46,0.99775247,splitting
